Model,Accuracy,Precision,Recall
MobileNetV2,0.9166666666666666,0.9333333333333332,0.9166666666666666
InceptionV3,0.7916666666666666,0.8257575757575758,0.7916666666666666
ResNet50V2,0.9166666666666666,0.9212962962962964,0.9166666666666666
DenseNet121,0.8333333333333334,0.8888888888888888,0.8333333333333334
VGG16,0.75,0.8571428571428571,0.75
EfficientNetB0,0.3333333333333333,0.1111111111111111,0.3333333333333333
